date,ADA-USD,BNB-USD,BTC-USD,BUSD-USD,DOGE-USD,DOT-USD,ETH-USD,LTC-USD,MATIC-USD,SHIB-USD,SOL-USD,TRX-USD,USDC-USD,USDT-USD,XRP-USD,ada_usd_0,bnb_usd_0,btc_usd_0,busd_usd_0,doge_usd_0,dot_usd_0,eth_usd_0,ltc_usd_0,matic_usd_0,shib_usd_0,sol_usd_0,trx_usd_0,usdc_usd_0,usdt_usd_0,xrp_usd_0,Crude Oil,Gold,S&P 500,13 Week Treasury Bill,RSI,MACD,MACD_Signal,MACD_Histogram,%K,%D
2/2/2022,-5.641842401,-4.780104693,-4.731073996,-0.218741976,-3.856604572,-4.256216811,-3.99190019,-6.115531119,-6.630974216,-4.652003138,-7.690987133,-2.060602017,0.028400623,-0.004599625,-4.51033702,1.582364,1.084045,1.234632,0.0209378,1.346004,1.263144,1.467903,1.15314,1.751722,1.784126,1.900102,1.346328,-0.00530611,0.00368925,1.070497,0.068009963,0.493138683,0.937840045,-9.28501123,34.5515202962395,-1512.5613845948901,-1817.7029336298333,305.1415490349432,36.84562259056791,47.66597355217675
2/3/2022,2.64125078,0.922623066,0.544121583,0.258300621,0.222723582,0.083009778,-0.137687259,1.581970472,0.540792241,0.0,-0.372424618,1.712563815,0.026402244,0.000595818,1.025678532,-3.944809,-3.177873,-3.124181,-0.0149234,-4.106608,-4.016796,-3.970866,-3.962917,-4.960556,-4.083637,-5.032149,-2.33112,0.00180752,-0.0110768,-3.233326,2.251811408,-0.343278741,-2.469347172,4.233437009,35.971547034798164,-1479.6166243507832,-1750.0856717740235,270.4690474232402,50.4101913532,47.201196463316144
2/4/2022,7.227372685,7.316312048,11.06268835,-0.158322594,6.99265122,8.222121978,10.7621957,9.202685716,8.680589987,4.652003138,10.03982974,7.660839078,-0.069811239,0.017694183,7.63182257,1.34492,1.367361,1.198109,-0.00589816,1.575558,1.900163,1.777266,1.510619,1.610901,1.033599,1.120104,0.5529248,0.00979602,0.000385423,1.255852,2.234730943,0.1994668,0.514367844,14.44815853,57.41937008527421,-1090.232203226762,-1618.1149780645715,527.8827748378094,99.67748036745422,62.31109810374071
2/5/2022,-0.731704414,3.731337369,-0.143982348,-0.085362828,-0.245726364,4.510399946,1.035689878,0.822541683,1.382030429,4.445177695,1.521740037,0.541928838,0.058404895,0.00319296,1.700718997,0.0192986,-0.0570118,-0.0499678,-0.00194284,0.0388139,-0.0704008,-0.0734684,-0.1451512,-0.1644214,-0.0137006,0.2031362,-0.0147133,-0.00491834,-5.79e-05,-0.1567505,0.0,0.0,0.0,0.0,57.13620277791313,-777.4979058706012,-1449.9915636257776,672.4936577551764,95.31345888071496,81.80037686712306
2/6/2022,1.514363253,1.28231536,2.316687652,0.10587102,4.406670336,2.479176711,1.410662535,4.435049146,1.481712788,19.67102858,1.226449021,2.209839994,0.024003063,0.008398905,2.446121643,-0.0388486,-0.0209616,0.00796208,0.00128601,-0.00953994,-0.0274869,-0.00141839,-0.0129169,-0.0866767,0.0215005,-0.0624459,0.00758889,0.0019429,0.000264994,-0.0099074,0.0,0.0,0.0,0.0,60.54468303316965,-446.13759170698177,-1249.2207692420184,803.0831775350366,99.05168878889698,98.01420934568871
2/7/2022,4.50659474,3.209496752,3.311158271,-0.06222911,7.398436153,2.083637433,2.741957537,7.307564966,14.88156651,16.43030454,1.766945649,3.49673553,-0.133543966,-0.012390121,19.13528503,-0.9354287,-0.5507142,-0.6872288,0.0134899,-0.930836,-1.455598,-1.136186,-0.8916003,-0.8506611,-0.5243565,-1.076658,-0.1260777,-0.00307652,-0.000155918,-0.7061477,-1.078263323,0.771949146,-0.370858093,-9.396584311,64.95639271111425,-67.53793212914024,-1012.8842018194429,945.3462696903026,93.59848533761752,95.9878776690765
2/8/2022,-1.564575863,-5.809790202,0.632480897,0.130716257,-4.42872574,-3.066326779,-0.634058277,-2.299006174,-3.555427407,-6.252037832,-3.256105954,-0.604196935,0.014914636,0.006397783,5.907297783,0.1512447,1.791452,1.089062,-0.046848,1.521238,1.251007,1.693098,1.489139,1.420164,0.5848832,0.8896271,-0.0464439,0.0149409,0.00221265,0.9622272,-2.169665673,0.329019823,0.836611347,30.35651691,65.75961648207021,252.04481000026863,-759.8983994555006,1011.9432094557692,87.83784548452105,93.49600653701185
2/9/2022,1.355810266,3.293869719,0.498211368,-0.024092975,0.452242796,1.106232169,3.673697694,4.509295322,4.718740037,6.252037832,0.372468896,2.422403585,0.04162393,0.012484625,-0.865387122,2.51983,1.995158,1.949708,0.0136548,2.293449,2.555077,2.592647,2.162979,2.922458,2.561236,3.215329,1.855224,-0.00740867,0.00369685,1.847831,0.335161798,0.469713888,1.441284208,-1.834912061,66.41630900181285,517.1357461700318,-504.4915703303941,1021.6273165004259,90.11783516980083,90.51805533064646
2/10/2022,-3.60728153,-1.754210931,-1.760339378,-0.140449323,-4.652754298,-6.088310023,-5.12939449,-3.6938053,-7.462107751,-6.252037832,-7.101790542,-1.675376049,0.051607741,-0.001798738,-4.777588052,-4.016871,-1.802248,-2.319357,-0.0522722,-2.91694,-3.275169,-2.715501,-2.943555,-4.261675,-3.63751,-4.177979,-2.496699,0.0135576,-0.00815704,-2.713722,0.245063719,0.054475135,-1.828182449,31.50810198,61.92549688802528,657.2164408623503,-272.14996809184527,929.3664089541955,77.8196324759757,85.25843771009919
2/11/2022,-6.463215703,-3.604581097,-2.692112606,0.001300754,-4.747191535,-8.453095541,-5.000275191,-6.940017012,-10.04926396,-6.669133606,-9.703228187,-6.953396859,-0.073517936,-0.000393106,-8.782197284,-1.932941,-2.160659,-2.153405,0.0428085,-2.85334,-2.346654,-2.776004,-2.53393,-3.121486,-2.494929,-3.499508,-0.6828949,-0.00546147,-0.00924336,-1.913674,3.519875113,0.250209413,-1.915168264,-9.045712445,55.843535150441284,667.1663081043444,-84.28671285260734,751.4530209569517,64.96486086957253,77.63410950511634
